Wall time,Step,Value
1689553310.9084764,12288,716.25
1689553317.7730908,14336,703.4000244140625
1689553344.7468405,22528,659.3030395507812
1689553351.5521996,24576,666.9166870117188
1689553371.8493142,30720,651.1738891601562
1689553378.6916597,32768,658.8571166992188
1689553398.6773994,38912,657.7796630859375
1689553405.4781487,40960,655.4677124023438
1689553412.028151,43008,650.5757446289062
1689553438.8774445,51200,629.91357421875
1689553497.7477522,69632,657.4600219726562
1689553517.5194273,75776,628.2100219726562
1689553543.5058844,83968,650.030029296875
1689553556.3431852,88064,664.4000244140625
1689553569.0174768,92160,665.6500244140625
1689553574.9393537,94208,672.6799926757812
1689553587.749263,98304,691.8699951171875
1689553606.6613102,102400,674.3699951171875
1689553631.4239595,110592,674.5499877929688
1689553637.903869,112640,668.510009765625
1689553644.3918307,114688,673.489990234375
1689553650.5424218,116736,675.7100219726562
1689553656.9896297,118784,681.260009765625
1689553696.4733214,131072,674.8900146484375
1689553709.9320872,135168,671.1699829101562
1689553716.7150702,137216,671.3699951171875
1689553723.267275,139264,685.9099731445312
1689553729.6592734,141312,685.8300170898438
1689553749.274942,147456,669.4299926757812
1689553755.9271455,149504,660.8699951171875
1689553762.60113,151552,655.3599853515625
1689553769.0250685,153600,662.1799926757812
1689553801.7341676,163840,639.1699829101562
1689553834.4836416,174080,647.5399780273438
1689553854.547362,180224,656.5900268554688
1689553861.4627006,182272,656.7000122070312
1689553901.8791578,194560,637.2100219726562
1689553958.8304617,210944,645.4400024414062
1689553978.915511,217088,630.0599975585938
1689553985.49617,219136,636.7100219726562
1689554032.6177137,233472,608.52001953125
1689554052.3702867,239616,622.7100219726562
1689554065.6487663,243712,614.3900146484375
1689554110.2573795,258048,604.1699829101562
1689554116.7728522,260096,609.0
1689554136.816007,266240,598.3300170898438
1689554143.5555294,268288,597.97998046875
1689554190.8504694,282624,621.2899780273438
1689554203.9371574,286720,625.5499877929688
1689554217.639289,290816,631.469970703125
1689554224.5240338,292864,629.6500244140625
1689554231.0258183,294912,631.510009765625
1689554285.5290816,309248,636.4299926757812
1689554319.3943024,319488,657.010009765625
1689554333.0046206,323584,636.27001953125
1689554339.809853,325632,645.239990234375
1689554346.5177193,327680,657.6599731445312
1689554367.1526318,333824,647.6199951171875
1689554387.4810946,339968,666.6400146484375
1689554400.9708657,344064,662.1099853515625
1689554407.7804055,346112,667.7999877929688
1689554428.3452554,352256,686.4099731445312
1689554469.1065848,364544,692.7100219726562
1689554476.051397,366592,697.030029296875
1689554489.4980047,370688,714.5599975585938
