Wall time,Step,Value
1688979697.5855522,12288,-3753.734619140625
1688979701.7346563,14336,-3741.9560546875
1688979718.194713,22528,-3640.033935546875
1688979722.2847056,24576,-3708.677490234375
1688979734.6051323,30720,-3708.875
1688979738.8441129,32768,-3692.091552734375
1688979751.1214323,38912,-3731.902099609375
1688979755.1720722,40960,-3764.453369140625
1688979759.235466,43008,-3786.447509765625
1688979775.6276898,51200,-3658.713623046875
1688979813.5645545,69632,-3423.912109375
1688979827.40847,75776,-3398.404541015625
1688979846.2473772,83968,-3374.603271484375
1688979855.295729,88064,-3396.6162109375
1688979863.648961,92160,-3319.72216796875
1688979867.9068778,94208,-3308.123046875
1688979876.21559,98304,-3306.474853515625
1688979889.5108151,102400,-3215.5673828125
1688979907.120457,110592,-3169.69970703125
1688979911.8744736,112640,-3174.8583984375
1688979917.0374618,114688,-3205.482421875
1688979921.7759507,116736,-3169.49853515625
1688979926.6225607,118784,-3155.989013671875
1688979952.0163186,131072,-3090.00390625
1688979960.526125,135168,-3065.59375
1688979964.761048,137216,-3033.9521484375
1688979968.9183662,139264,-3028.115478515625
1688979973.0819294,141312,-3052.660888671875
1688979986.323988,147456,-2969.37353515625
1688979990.486552,149504,-2960.780517578125
1688979994.8393192,151552,-2955.64208984375
1688979998.9633024,153600,-2956.3828125
1688980019.8452268,163840,-2927.887939453125
1688980042.3605912,174080,-2788.745849609375
1688980055.2653537,180224,-2745.334716796875
1688980059.7629569,182272,-2762.23779296875
1688980085.1671839,194560,-2648.686279296875
1688980128.8051224,210944,-2411.474609375
1688980142.6168337,217088,-2349.421875
1688980147.8136694,219136,-2341.1044921875
1688980181.1349864,233472,-2210.318115234375
1688980194.097845,239616,-2165.644775390625
1688980202.9226205,243712,-2184.503662109375
1688980234.4782956,258048,-2133.591796875
1688980240.6944635,260096,-2127.55712890625
1688980255.5758176,266240,-2112.73779296875
1688980260.2836328,268288,-2130.2216796875
1688980290.9879134,282624,-2162.4130859375
1688980299.572626,286720,-2155.762451171875
1688980308.5010965,290816,-2123.865966796875
1688980313.068316,292864,-2108.741455078125
1688980317.4417229,294912,-2102.189453125
1688980354.6506224,309248,-2035.2125244140625
1688980376.4500966,319488,-1977.06005859375
1688980384.7856486,323584,-1955.27880859375
1688980388.9816449,325632,-1950.3006591796875
1688980393.1491625,327680,-1949.2281494140625
1688980406.017358,333824,-1932.7398681640625
1688980418.4922452,339968,-1918.78173828125
1688980426.7656398,344064,-1914.297607421875
1688980430.9014835,346112,-1921.9840087890625
1688980443.8445783,352256,-1925.1671142578125
1688980472.5424757,364544,-1960.5267333984375
1688980477.161569,366592,-1936.0928955078125
1688980485.4571183,370688,-1924.5443115234375
1688980497.9403052,376832,-1894.0428466796875
1688980506.2630663,380928,-1849.78857421875
1688980510.3922172,382976,-1850.5931396484375
1688980518.6233065,387072,-1809.54345703125
1688980526.8254833,391168,-1770.2568359375
1688980531.0247197,393216,-1762.4041748046875
1688980562.9208927,407552,-1621.034423828125
1688980601.447311,423936,-1504.9075927734375
1688980605.6536295,425984,-1499.69921875
1688980609.7818122,428032,-1518.1904296875
1688980626.688857,436224,-1505.6234130859375
1688980668.9932835,456704,-1657.2291259765625
1688980673.4104524,458752,-1673.943115234375
1688980682.1341834,462848,-1622.6534423828125
1688980690.5326834,466944,-1629.9642333984375
1688980698.8890224,471040,-1586.671875
1688980711.4118927,477184,-1639.9857177734375
1688980715.5287528,479232,-1694.5667724609375
1688980719.6717947,481280,-1646.65966796875
1688980732.1758068,487424,-1642.265380859375
1688980785.4896863,507904,-1697.875244140625
1688980795.8141944,512000,-1706.054443359375
1688980822.3293316,524288,-1493.959228515625
1688980835.9984648,530432,-1460.2738037109375
1688980841.3182936,532480,-1416.5811767578125
1688980847.0590127,534528,-1412.2425537109375
1688980851.9981246,536576,-1410.2191162109375
1688980860.4125433,540672,-1350.83740234375
1688980879.4469078,548864,-1229.3477783203125
1688980888.1436648,552960,-1210.9625244140625
1688980896.6023161,557056,-1217.542236328125
1688980905.127594,561152,-1246.9366455078125
1688980926.2451594,571392,-1094.636474609375
1688980951.7655852,583680,-1173.556396484375
1688980981.1752596,598016,-1280.7152099609375
1688980986.9498582,600064,-1324.9542236328125
1688981007.9124887,610304,-1300.48583984375
1688981012.784026,612352,-1340.3668212890625
1688981029.8861477,618496,-1386.515380859375
1688981035.9262445,620544,-1346.104736328125
1688981042.1135864,622592,-1324.857177734375
1688981062.6253617,630784,-1258.0648193359375
1688981067.321558,632832,-1279.317626953125
1688981076.0360203,636928,-1345.8118896484375
1688981089.5899236,643072,-1237.0506591796875
1688981108.018125,651264,-1092.10791015625
1688981112.307429,653312,-1095.963134765625
1688981117.038897,655360,-1070.7203369140625
1688981121.8299553,657408,-1092.347412109375
1688981132.023623,661504,-1112.0369873046875
1688981144.7048771,667648,-1079.6492919921875
1688981148.9601278,669696,-1072.2633056640625
1688981153.1246347,671744,-1027.8099365234375
1688981165.8793707,677888,-1068.831787109375
1688981178.6369655,684032,-971.3480224609375
1688981204.1678977,696320,-844.708984375
1688981214.8581583,700416,-853.9998168945312
1688981227.6882284,706560,-913.4815673828125
1688981231.967869,708608,-918.225830078125
1688981240.4904232,712704,-937.1062622070312
1688981244.7252936,714752,-935.8823852539062
1688981266.0201187,724992,-964.36669921875
1688981270.2313797,727040,-941.6944580078125
1688981287.2157211,735232,-985.485595703125
1688981295.7384272,739328,-1040.699462890625
1688981308.4791436,745472,-947.4168701171875
1688981325.429037,753664,-983.01806640625
1688981342.5869005,761856,-880.2920532226562
1688981351.1686065,765952,-807.85107421875
1688981368.2257044,774144,-954.0079345703125
1688981372.4492087,776192,-913.41845703125
1688981376.8348513,778240,-917.5333251953125
1688981385.4602768,782336,-926.2996215820312
1688981389.7837095,784384,-952.7833251953125
1688981406.919755,792576,-921.0135498046875
1688981411.2518811,794624,-917.162353515625
1688981430.4442327,802816,-957.6318359375
1688981434.7038388,804864,-898.8618774414062
1688981439.0415733,806912,-928.177001953125
1688981481.9359381,827392,-882.8272705078125
1688981503.2133107,837632,-1000.12255859375
1688981533.1260812,851968,-1081.5374755859375
1688981537.4144685,854016,-1068.358642578125
1688981558.8319259,864256,-1013.8786010742188
1688981563.0862434,866304,-956.678955078125
1688981571.4784143,870400,-908.952880859375
1688981579.9014583,874496,-859.175048828125
1688981596.9783275,882688,-826.892333984375
1688981637.7149444,901120,-1067.40283203125
1688981646.1404886,905216,-991.5119018554688
1688981650.4765527,907264,-1042.3326416015625
1688981663.2871115,913408,-903.8590698242188
1688981688.7893696,925696,-805.8096923828125
1688981721.6252217,940032,-899.182861328125
1688981726.061585,942080,-909.5775756835938
1688981730.445399,944128,-914.7735595703125
1688981734.6383886,946176,-859.988037109375
1688981743.0268962,950272,-822.2945556640625
1688981747.2998357,952320,-801.28173828125
1688981761.365449,958464,-796.6080932617188
1688981766.2804878,960512,-840.0133056640625
1688981791.2278466,970752,-805.1040649414062
1688981796.2012024,972800,-842.9315185546875
1688981854.5363107,995328,-758.4178466796875
1688981870.5008264,1001472,-753.2109375
1688981874.774357,1003520,-743.4779663085938
1688981883.3109853,1007616,-781.7584838867188
1688981891.7571404,1011712,-746.9581909179688
1688981904.4715338,1017856,-806.4776611328125
1688981962.5987217,1040384,-944.8457641601562
1688981986.2480693,1048576,-1029.577392578125
1688981991.8429065,1050624,-1091.405029296875
1688982003.0072947,1054720,-1133.9072265625
1688982014.0333343,1058816,-1151.4908447265625
1688982018.739365,1060864,-1168.1016845703125
1688982027.4039192,1064960,-1154.08203125
1688982049.554898,1075200,-1075.2872314453125
1688982053.8925338,1077248,-1044.62744140625
1688982081.5258567,1089536,-864.1416015625
1688982089.97848,1093632,-724.0288696289062
1688982094.4253662,1095680,-733.6798706054688
1688982098.8457813,1097728,-769.8424072265625
1688982103.7727263,1099776,-752.8868408203125
1688982110.717227,1101824,-750.93701171875
1688982115.294168,1103872,-747.06884765625
1688982124.9633217,1107968,-800.2720947265625
1688982129.3664093,1110016,-764.7467651367188
1688982133.7218568,1112064,-726.6994018554688
1688982156.5858514,1122304,-823.9224853515625
1688982160.8907914,1124352,-818.9854736328125
1688982165.3572636,1126400,-808.6951904296875
1688982174.2648888,1130496,-790.853271484375
1688982192.7636673,1138688,-833.8707885742188
1688982202.4450507,1142784,-824.666748046875
1688982211.9551125,1146880,-859.8443603515625
1688982229.8870797,1155072,-923.559326171875
1688982234.291533,1157120,-910.453369140625
1688982238.5417871,1159168,-852.7772827148438
1688982255.7041123,1167360,-742.3158569335938
1688982274.4789424,1175552,-886.7758178710938
1688982278.8450694,1177600,-884.4856567382812
1688982291.59577,1183744,-864.7275390625
1688982300.1412401,1187840,-884.2783203125
1688982304.488413,1189888,-948.4283447265625
1688982308.8295534,1191936,-985.8948974609375
1688982313.1455374,1193984,-965.7112426757812
1688982317.4163165,1196032,-951.3058471679688
1688982321.6282914,1198080,-890.2739868164062
1688982332.229155,1202176,-816.6221313476562
1688982336.553031,1204224,-902.2110595703125
1688982357.868731,1214464,-890.9025268554688
1688982362.1417015,1216512,-861.1132202148438
1688982374.9707153,1222656,-884.5375366210938
1688982379.1947057,1224704,-860.050048828125
1688982392.1219401,1230848,-867.9608154296875
1688982400.756519,1234944,-809.5905151367188
1688982418.0032218,1243136,-939.1683959960938
1688982426.5306609,1247232,-816.2015380859375
1688982435.216945,1251328,-816.5887451171875
1688982443.8025007,1255424,-713.625732421875
1688982456.5839384,1261568,-706.64013671875
1688982473.794508,1269760,-707.0321044921875
1688982478.0850992,1271808,-723.9692993164062
1688982486.6238434,1275904,-683.7991333007812
1688982499.4021492,1282048,-773.0319213867188
1688982516.479032,1290240,-792.7103271484375
1688982540.0963514,1300480,-825.6336669921875
1688982570.0934985,1314816,-854.3833618164062
1688982574.411396,1316864,-867.4599609375
1688982583.0925167,1320960,-862.0367431640625
1688982587.354906,1323008,-882.6519775390625
1688982591.6964211,1325056,-900.768310546875
1688982595.929101,1327104,-915.6531982421875
1688982600.1828709,1329152,-879.5090942382812
1688982604.5097022,1331200,-842.17822265625
1688982617.3551078,1337344,-738.1680297851562
1688982634.598213,1345536,-801.3035278320312
1688982638.9200313,1347584,-783.8050537109375
1688982656.2471268,1355776,-877.1630249023438
1688982669.1636105,1361920,-935.2783813476562
1688982677.7036881,1366016,-905.8839721679688
1688982686.2291994,1370112,-914.1425170898438
1688982699.2412963,1376256,-937.3402099609375
1688982703.522084,1378304,-848.3489990234375
1688982707.8001764,1380352,-814.3460693359375
1688982712.078843,1382400,-885.6590576171875
1688982716.3799438,1384448,-865.8193359375
1688982725.1096728,1388544,-848.447998046875
1688982729.4110663,1390592,-841.8004150390625
1688982733.7156322,1392640,-814.4132690429688
1688982742.252415,1396736,-796.7018432617188
1688982746.5048773,1398784,-802.61572265625
1688982752.9690187,1400832,-753.033935546875
1688982757.1800196,1402880,-739.1889038085938
