Wall time,Step,Value
1689521533.0907156,12288,-5152.94873046875
1689521539.2715607,14336,-5077.8359375
1689521564.2682822,22528,-4812.25048828125
1689521570.7870746,24576,-4728.01416015625
1689521590.0765798,30720,-4720.21826171875
1689521596.5192935,32768,-4769.94482421875
1689521615.848499,38912,-4905.5556640625
1689521622.4359372,40960,-4897.52294921875
1689521628.813178,43008,-4891.87841796875
1689521654.3525124,51200,-4880.2421875
1689521712.1377566,69632,-4831.068359375
1689521731.633277,75776,-4889.65625
1689521757.6284688,83968,-4915.45458984375
1689521770.2359445,88064,-4987.845703125
1689521783.2130396,92160,-4987.3642578125
1689521789.3379948,94208,-4984.837890625
1689521802.2968554,98304,-5022.25439453125
1689521818.1526678,102400,-5075.2158203125
1689521844.4412937,110592,-4977.60791015625
1689521850.9720607,112640,-4951.07177734375
1689521857.4994304,114688,-4854.5859375
1689521863.6276867,116736,-4857.09716796875
1689521869.719067,118784,-4901.61376953125
1689521909.1227145,131072,-4710.7041015625
1689521921.3986964,135168,-4767.8515625
1689521927.894158,137216,-4732.876953125
1689521934.3738306,139264,-4677.96533203125
1689521940.5589902,141312,-4600.41796875
1689521959.6693616,147456,-4557.642578125
1689521966.2853525,149504,-4568.15234375
1689521972.3477066,151552,-4557.2333984375
1689521978.875492,153600,-4525.45849609375
1689522010.8024771,163840,-4357.45751953125
1689522043.116019,174080,-4173.02197265625
1689522062.6526494,180224,-4143.416015625
1689522069.0997667,182272,-4131.6533203125
1689522106.976688,194560,-4078.56640625
1689522162.474185,210944,-3995.791259765625
1689522181.6334465,217088,-4044.31201171875
1689522188.1121485,219136,-4052.54736328125
1689522233.1877043,233472,-4066.84765625
1689522252.906303,239616,-4040.490966796875
1689522265.6855063,243712,-4070.466796875
1689522310.6534607,258048,-3914.825927734375
1689522317.110499,260096,-3955.523681640625
1689522336.4972472,266240,-4008.0419921875
1689522342.606199,268288,-4021.957763671875
1689522387.3698022,282624,-3765.857421875
1689522400.5405035,286720,-3701.589599609375
1689522413.754097,290816,-3622.69482421875
1689522420.2968702,292864,-3636.872314453125
1689522426.4299932,294912,-3591.956787109375
1689522477.6815748,309248,-3602.9384765625
1689522510.4097228,319488,-3465.77490234375
1689522522.713289,323584,-3448.96923828125
1689522528.8835874,325632,-3477.695068359375
1689522535.2909706,327680,-3480.71923828125
1689522554.9883692,333824,-3520.00439453125
1689522574.454776,339968,-3535.711181640625
1689522587.4338698,344064,-3574.7998046875
1689522594.014149,346112,-3577.99462890625
1689522613.5809042,352256,-3572.309326171875
1689522652.514113,364544,-3362.138916015625
1689522658.617584,366592,-3374.6513671875
1689522671.6618512,370688,-3403.30712890625
1689522690.8428075,376832,-3401.05322265625
1689522703.0937524,380928,-3397.5712890625
1689522709.6661086,382976,-3402.871826171875
1689522722.3511727,387072,-3462.711181640625
1689522735.2782817,391168,-3430.457275390625
1689522742.0643466,393216,-3427.833984375
1689522792.6117003,407552,-3321.825439453125
1689522845.0642657,423936,-3141.272705078125
1689522851.5924473,425984,-3151.355712890625
1689522858.264101,428032,-3143.9091796875
1689522884.9468772,436224,-3116.005615234375
1689522950.358874,456704,-3273.808349609375
1689522956.7499874,458752,-3312.023681640625
1689522969.435028,462848,-3375.61767578125
1689522982.3664458,466944,-3379.475341796875
1689522994.9684756,471040,-3359.69970703125
1689523014.3937004,477184,-3339.4013671875
1689523021.2687962,479232,-3347.004150390625
1689523027.692823,481280,-3364.1826171875
1689523047.3758094,487424,-3396.767333984375
1689523115.791985,507904,-3270.79833984375
1689523128.542196,512000,-3118.4541015625
1689523167.8800466,524288,-2964.318359375
1689523187.3395412,530432,-2850.03076171875
1689523193.5991042,532480,-2833.421630859375
1689523200.316926,534528,-2841.399169921875
1689523206.8938816,536576,-2791.98046875
1689523219.6185462,540672,-2839.455810546875
1689523245.1278572,548864,-2844.633056640625
1689523258.086781,552960,-2846.77197265625
1689523270.814812,557056,-2834.5302734375
1689523283.977341,561152,-2880.744384765625
1689523316.2388673,571392,-2873.3564453125
1689523355.6267986,583680,-2930.035400390625
1689523401.1195018,598016,-2905.741943359375
1689523412.9565704,600064,-2911.401123046875
1689523445.3516352,610304,-2992.7685546875
1689523451.994046,612352,-2993.1474609375
1689523471.3504908,618496,-3018.96337890625
1689523477.5125961,620544,-2986.043701171875
1689523483.7850206,622592,-2970.7314453125
1689523509.638846,630784,-3030.54931640625
1689523516.223059,632832,-3059.607177734375
1689523529.3872578,636928,-3093.749267578125
1689523548.2726092,643072,-3133.033935546875
1689523573.457804,651264,-3038.322509765625
1689523579.9358466,653312,-3068.70654296875
1689523586.555918,655360,-2992.778076171875
1689523593.1338959,657408,-2945.753662109375
1689523606.5438883,661504,-2893.77783203125
1689523626.2038562,667648,-2940.1767578125
1689523632.907287,669696,-2875.385986328125
1689523639.1393929,671744,-2809.02783203125
1689523659.0343888,677888,-2767.07666015625
1689523678.2929513,684032,-2725.236328125
1689523716.592701,696320,-2756.35400390625
1689523732.069892,700416,-2804.224609375
1689523751.4489841,706560,-2838.24755859375
1689523757.9985995,708608,-2826.39013671875
1689523770.7481673,712704,-2781.990966796875
1689523776.896827,714752,-2803.136474609375
1689523809.231438,724992,-2801.90283203125
1689523815.7770383,727040,-2791.4140625
1689523841.645713,735232,-2712.4345703125
1689523854.5718575,739328,-2666.777099609375
1689523874.3238525,745472,-2643.066162109375
1689523900.2929077,753664,-2645.699951171875
1689523925.6725137,761856,-2651.761962890625
1689523938.2064505,765952,-2673.173828125
1689523964.6772215,774144,-2668.386474609375
1689523971.1524389,776192,-2699.9990234375
1689523977.7382843,778240,-2717.072998046875
1689523990.4304373,782336,-2738.16162109375
1689523997.0416098,784384,-2771.3203125
1689524022.8875868,792576,-2807.82666015625
1689524029.0302649,794624,-2801.54248046875
1689524058.3413801,802816,-2860.373291015625
1689524064.8336096,804864,-2870.476806640625
