Wall time,Step,Value
1703934296.1102395,100000,-6192.43310546875
1703934571.479105,200000,-5899.43017578125
1703934836.2703114,300000,-3439.929931640625
1703935103.0585806,400000,-2952.169921875
1703935364.8510547,500000,-3252.728515625
1703935629.8774838,600000,-2383.9130859375
1703935890.4217117,700000,-2081.797119140625
1703936154.8504112,800000,-2616.06787109375
1703936416.7196405,900000,-1902.0445556640625
1703936681.5059438,1000000,-1939.13671875
1703936945.0244696,1100000,-2044.3641357421875
1703937208.40331,1200000,-2408.571044921875
1703937471.5460024,1300000,-2331.41259765625
1703937737.1808038,1400000,-2401.16943359375
1703937998.7709975,1500000,-2452.21923828125
1703938260.8732076,1600000,-2047.984375
1703938526.8368258,1700000,-2501.044189453125
1703938791.1415646,1800000,-2208.42919921875
1703939056.0413768,1900000,-1761.05126953125
1703939320.0138476,2000000,-2566.878662109375
