Wall time,Step,Value
1703934295.3890548,100000,-5848.83642578125
1703934575.974165,200000,-6145.873046875
1703934846.6012723,300000,-5735.6982421875
1703935118.344185,400000,-4766.11669921875
1703935385.1909583,500000,-3971.552490234375
1703935652.3612945,600000,-4006.05859375
1703935918.4996223,700000,-1779.931640625
1703936187.499144,800000,-2426.435546875
1703936454.8853269,900000,-2465.74072265625
1703936725.2498198,1000000,-3460.776611328125
1703936992.9923067,1100000,-1758.30029296875
1703937257.684673,1200000,-1397.3502197265625
1703937525.377591,1300000,-3191.315673828125
1703937794.5684316,1400000,-2042.563232421875
1703938062.357125,1500000,-1159.627685546875
1703938327.9503555,1600000,-2250.661865234375
1703938596.0195167,1700000,-2231.478271484375
1703938862.88866,1800000,-1700.0469970703125
1703939130.9034824,1900000,-1559.203369140625
1703939374.7680142,2000000,-2073.83642578125
