Wall time,Step,Value
1704290020.3916461,12288,-5990.4111328125
1704290026.1388905,14336,-5654.091796875
1704290046.7970243,22528,-5927.31640625
1704290052.2718213,24576,-5923.94580078125
1704290067.5891793,30720,-5938.84423828125
1704290072.6325383,32768,-5822.26025390625
1704290087.9549222,38912,-5885.0703125
1704290093.017526,40960,-5886.8466796875
1704290098.352011,43008,-5865.12109375
1704290119.0407727,51200,-5788.580078125
1704290166.1947591,69632,-5813.8603515625
1704290181.8058982,75776,-5844.31640625
1704290203.2863255,83968,-5775.20361328125
1704290213.8088143,88064,-5757.802734375
1704290224.3112798,92160,-5739.25537109375
1704290229.6195202,94208,-5714.4130859375
1704290240.4337718,98304,-5636.033203125
1704290258.2775855,102400,-5716.19580078125
1704290280.1781147,110592,-5667.671875
1704290285.7008886,112640,-5662.2685546875
1704290291.003874,114688,-5641.3876953125
1704290296.1666136,116736,-5637.205078125
1704290301.4248538,118784,-5618.82470703125
1704290333.6317108,131072,-5500.1689453125
1704290344.4551508,135168,-5447.40234375
1704290349.7601078,137216,-5446.3466796875
1704290355.2269466,139264,-5346.04345703125
1704290360.525252,141312,-5331.77685546875
1704290376.563906,147456,-5302.47607421875
1704290381.893241,149504,-5303.8896484375
1704290387.2654822,151552,-5291.75390625
1704290392.644842,153600,-5283.12060546875
1704290418.9812787,163840,-5211.02197265625
1704290445.3154466,174080,-5161.46728515625
1704290461.4190016,180224,-5115.40087890625
1704290466.7765481,182272,-5084.9326171875
1704290498.555776,194560,-4760.98828125
1704290545.1809723,210944,-4604.25146484375
1704290561.2889736,217088,-4575.75537109375
1704290566.6713605,219136,-4554.51220703125
1704290604.527134,233472,-4034.1015625
1704290620.815185,239616,-3780.153076171875
1704290631.494294,243712,-3699.410888671875
1704290668.0963724,258048,-3373.1787109375
1704290673.4559977,260096,-3341.14453125
1704290689.46152,266240,-3086.6865234375
1704290694.8022115,268288,-3027.070556640625
1704290733.0052547,282624,-2614.083984375
1704290743.6063242,286720,-2504.836181640625
1704290754.032768,290816,-2479.408935546875
1704290759.4584327,292864,-2471.657470703125
1704290764.736028,294912,-2455.69189453125
1704290804.2334354,309248,-2224.37841796875
1704290831.2438188,319488,-2281.46630859375
1704290842.020704,323584,-2288.765869140625
1704290847.4676054,325632,-2288.804443359375
1704290852.9335964,327680,-2264.283935546875
1704290869.0966847,333824,-2289.805419921875
1704290884.917553,339968,-2299.057861328125
1704290895.6921787,344064,-2301.212158203125
1704290901.1963637,346112,-2281.878173828125
1704290917.5167267,352256,-2333.878173828125
1704290949.3338642,364544,-2190.90283203125
1704290954.7915537,366592,-2148.5185546875
1704290965.6590002,370688,-2083.75830078125
1704290981.8530872,376832,-2160.277099609375
1704290992.7080297,380928,-2146.5205078125
1704290998.1521273,382976,-2124.106689453125
1704291008.941579,387072,-2160.03759765625
1704291019.396606,391168,-2208.802734375
1704291024.9168537,393216,-2202.7548828125
1704291064.5641072,407552,-2280.830810546875
1704291107.8314447,423936,-2429.40966796875
1704291113.33853,425984,-2401.634521484375
1704291118.8399072,428032,-2420.923828125
1704291140.7926903,436224,-2470.824462890625
1704291194.380329,456704,-2403.529541015625
1704291199.6313572,458752,-2392.9462890625
1704291210.4694722,462848,-2377.41455078125
1704291221.359039,466944,-2330.125
1704291232.0618968,471040,-2328.42822265625
1704291248.1768525,477184,-2247.22265625
1704291253.553803,479232,-2221.709716796875
1704291258.8654659,481280,-2182.24365234375
1704291274.4898772,487424,-2076.589111328125
1704291329.7760158,507904,-1750.7060546875
1704291340.5495763,512000,-1719.018798828125
1704291372.3581076,524288,-1705.7886962890625
1704291388.40203,530432,-1727.5198974609375
1704291393.7504697,532480,-1746.3551025390625
1704291399.1427932,534528,-1736.1339111328125
1704291404.5529568,536576,-1754.448974609375
1704291415.1705348,540672,-1739.704833984375
1704291436.2728574,548864,-1760.368896484375
1704291446.636246,552960,-1789.90185546875
1704291457.4333332,557056,-1811.71240234375
1704291468.208518,561152,-1794.408447265625
1704291495.1108992,571392,-1674.4625244140625
1704291527.259982,583680,-1590.9178466796875
1704291564.645618,598016,-1471.87255859375
1704291571.5237947,600064,-1448.669921875
1704291598.279221,610304,-1330.70654296875
1704291603.4457712,612352,-1318.6817626953125
1704291619.6636596,618496,-1386.6417236328125
1704291624.8276777,620544,-1382.025390625
1704291629.9794724,622592,-1393.5494384765625
1704291650.941184,630784,-1466.0316162109375
1704291656.164758,632832,-1487.5631103515625
1704291666.7422042,636928,-1537.2393798828125
1704291682.3328671,643072,-1608.066650390625
