Wall time,Step,Value
1704290009.923419,12288,-5395.35205078125
1704290015.7321959,14336,-5278.77783203125
1704290037.0811503,22528,-5406.2744140625
1704290042.0999787,24576,-5392.76025390625
1704290057.8138168,30720,-5361.8623046875
1704290062.993807,32768,-5364.685546875
1704290078.42575,38912,-5358.81884765625
1704290083.64857,40960,-5258.380859375
1704290088.8073487,43008,-5240.7998046875
1704290109.8026538,51200,-5089.1103515625
1704290157.770565,69632,-5199.64111328125
1704290173.5252078,75776,-5250.53076171875
1704290194.9247942,83968,-5242.98046875
1704290205.900969,88064,-5315.69970703125
1704290216.4963148,92160,-5346.19580078125
1704290221.7284927,94208,-5377.07470703125
1704290232.3744955,98304,-5353.30517578125
1704290249.403443,102400,-5427.447265625
1704290270.84904,110592,-5402.8603515625
1704290276.1879559,112640,-5405.12890625
1704290281.6582458,114688,-5433.64111328125
1704290287.178417,116736,-5434.47705078125
1704290292.365832,118784,-5451.16455078125
1704290324.2935848,131072,-5594.599609375
1704290335.025333,135168,-5674.74560546875
1704290340.4742894,137216,-5706.84814453125
1704290345.8861315,139264,-5747.1640625
1704290351.261305,141312,-5702.75732421875
1704290367.3065655,147456,-5746.818359375
1704290372.677473,149504,-5714.0791015625
1704290377.9995804,151552,-5679.94921875
1704290383.3638442,153600,-5647.7763671875
1704290410.4091682,163840,-5635.70556640625
1704290436.6171641,174080,-5622.0634765625
1704290452.8796983,180224,-5611.86865234375
1704290458.3140738,182272,-5606.01708984375
1704290490.4616382,194560,-5629.76171875
1704290538.3923008,210944,-5716.8876953125
1704290554.53505,217088,-5706.86669921875
1704290559.9111216,219136,-5709.99267578125
1704290597.5002797,233472,-5833.58154296875
1704290613.5730333,239616,-5914.55078125
1704290624.2317898,243712,-5937.50927734375
1704290660.3057802,258048,-5986.58544921875
1704290665.5202193,260096,-5997.77392578125
1704290681.2970731,266240,-5983.03173828125
1704290686.3655605,268288,-5992.9296875
1704290723.7084622,282624,-5973.00146484375
1704290734.5217404,286720,-5988.2958984375
1704290744.985874,290816,-6003.33447265625
1704290750.0705972,292864,-5986.04541015625
1704290755.2182345,294912,-6023.70751953125
1704290797.9217808,309248,-5890.28125
1704290824.9037263,319488,-5846.50439453125
1704290835.6729863,323584,-5817.123046875
1704290841.0411115,325632,-5811.5263671875
1704290846.386474,327680,-5847.576171875
1704290862.6192865,333824,-5694.52880859375
1704290878.2018056,339968,-5700.43896484375
1704290888.8493657,344064,-5686.0576171875
1704290894.2539973,346112,-5670.1396484375
1704290910.4675593,352256,-5608.6767578125
1704290941.8432703,364544,-5567.80322265625
1704290946.9979916,366592,-5573.537109375
1704290957.428394,370688,-5566.12255859375
1704290973.271549,376832,-5579.36279296875
1704290983.9014661,380928,-5578.4345703125
1704290989.2917361,382976,-5535.72412109375
1704291000.0397046,387072,-5541.00244140625
1704291010.6218302,391168,-5522.34375
1704291015.758761,393216,-5540.82763671875
1704291056.9408793,407552,-5579.0107421875
1704291100.0257723,423936,-5638.90576171875
1704291105.4375277,425984,-5616.24951171875
1704291110.760483,428032,-5625.03076171875
1704291132.3687167,436224,-5602.9404296875
1704291186.108382,456704,-5672.5625
1704291191.2349167,458752,-5650.44677734375
1704291201.7776625,462848,-5635.78173828125
1704291212.4677598,466944,-5651.404296875
1704291223.433235,471040,-5651.84765625
1704291239.6957407,477184,-5724.15625
1704291245.077678,479232,-5735.24609375
1704291250.5440273,481280,-5723.1103515625
1704291266.6511521,487424,-5703.185546875
1704291326.1375484,507904,-5704.06689453125
1704291336.7851307,512000,-5684.37939453125
1704291368.5593333,524288,-5662.021484375
1704291384.4994583,530432,-5581.56201171875
1704291389.8705108,532480,-5576.345703125
1704291395.2150376,534528,-5555.6201171875
1704291400.682435,536576,-5559.01904296875
1704291411.448821,540672,-5529.5126953125
1704291432.4732087,548864,-5453.4306640625
1704291442.7854314,552960,-5468.6337890625
1704291453.3327777,557056,-5389.44775390625
1704291464.1120968,561152,-5256.150390625
1704291490.9968698,571392,-5138.8515625
1704291523.2074342,583680,-4889.9765625
1704291560.125113,598016,-4492.5703125
1704291572.7728906,600064,-4431.212890625
1704291599.489538,610304,-4410.63037109375
1704291604.7003596,612352,-4327.962890625
1704291620.5253556,618496,-4255.208984375
1704291625.6444232,620544,-4236.08984375
1704291630.7800055,622592,-4180.775390625
1704291651.8195693,630784,-4030.27783203125
1704291657.0243084,632832,-4049.705810546875
1704291667.541816,636928,-3990.143798828125
1704291683.1443973,643072,-3921.755859375
1704291704.0763962,651264,-3854.7041015625
1704291709.6279135,653312,-3819.0771484375
1704291714.8440752,655360,-3839.197998046875
1704291720.1846035,657408,-3841.595947265625
1704291731.2776153,661504,-3810.48486328125
1704291747.494454,667648,-3863.1357421875
1704291752.7927318,669696,-3850.06298828125
1704291757.9569488,671744,-3852.37451171875
1704291773.9540622,677888,-3774.97509765625
1704291789.6997986,684032,-3630.2880859375
1704291820.986417,696320,-3545.013916015625
1704291838.9115658,700416,-3448.91552734375
1704291855.0414689,706560,-3483.286865234375
1704291860.567162,708608,-3492.642822265625
1704291871.7501345,712704,-3485.451416015625
1704291876.9426982,714752,-3449.07177734375
1704291903.8342705,724992,-3358.37890625
1704291909.1368258,727040,-3362.932373046875
1704291929.965357,735232,-3269.378662109375
1704291940.355037,739328,-3321.719970703125
1704291956.1294851,745472,-3321.0400390625
1704291977.5684109,753664,-3364.93017578125
1704291999.0671313,761856,-3378.55224609375
1704292009.6731932,765952,-3421.9443359375
1704292031.4011235,774144,-3363.9228515625
1704292036.8698523,776192,-3356.389892578125
1704292042.2473145,778240,-3345.2763671875
1704292053.0401604,782336,-3342.75341796875
1704292058.353893,784384,-3330.77587890625
1704292079.9981318,792576,-3265.59814453125
1704292085.4342272,794624,-3245.525390625
1704292114.1776464,802816,-3268.5302734375
1704292119.571695,804864,-3256.59521484375
1704292124.9656205,806912,-3259.80029296875
1704292178.9430113,827392,-2990.22900390625
1704292205.2538176,837632,-2864.57861328125
1704292242.3405626,851968,-2866.149658203125
1704292247.7754307,854016,-2816.85986328125
1704292274.403963,864256,-2784.601806640625
1704292279.8205721,866304,-2737.05078125
1704292290.5753777,870400,-2698.288818359375
1704292301.3893783,874496,-2700.47802734375
1704292322.602851,882688,-2630.194091796875
1704292374.8811586,901120,-2676.001220703125
1704292385.4753191,905216,-2619.031005859375
1704292390.6310613,907264,-2627.885009765625
1704292406.9636896,913408,-2648.494384765625
1704292438.7230484,925696,-2625.66650390625
1704292476.6722732,940032,-2658.4052734375
1704292482.174446,942080,-2636.156982421875
1704292487.696293,944128,-2538.834716796875
1704292493.0724726,946176,-2513.485595703125
1704292503.792731,950272,-2531.4365234375
1704292509.102251,952320,-2471.598388671875
1704292524.9159424,958464,-2441.364501953125
1704292530.2462196,960512,-2418.223876953125
1704292556.6167734,970752,-2374.697509765625
1704292561.790953,972800,-2359.296875
1704292619.1796875,995328,-2269.9208984375
1704292639.144172,1001472,-2290.628662109375
1704292644.5270047,1003520,-2287.34619140625
1704292655.2769966,1007616,-2279.96533203125
1704292665.876191,1011712,-2245.02001953125
1704292681.906881,1017856,-2227.865234375
1704292741.4079373,1040384,-2203.591796875
1704292763.0516763,1048576,-2133.117431640625
1704292768.4066389,1050624,-2099.965087890625
1704292778.9386024,1054720,-2124.201171875
1704292789.5136442,1058816,-2152.1474609375
1704292794.745556,1060864,-2150.505859375
1704292805.3511648,1064960,-2123.691162109375
1704292832.1678162,1075200,-2103.787841796875
1704292837.5030384,1077248,-2105.097900390625
1704292869.7714767,1089536,-2114.9189453125
1704292880.5208066,1093632,-2101.745849609375
1704292885.8493838,1095680,-2099.84033203125
1704292891.2677286,1097728,-2117.460205078125
1704292896.5992186,1099776,-2109.629638671875
1704292905.9311008,1101824,-2137.734130859375
1704292911.1394043,1103872,-2150.818603515625
1704292921.934316,1107968,-2184.696533203125
1704292927.3740256,1110016,-2168.323974609375
1704292932.7960362,1112064,-2133.923095703125
1704292959.3379316,1122304,-2244.256591796875
1704292964.807905,1124352,-2257.531005859375
1704292970.2388625,1126400,-2282.762451171875
1704292981.1582437,1130496,-2300.44873046875
1704293002.7198532,1138688,-2284.3330078125
1704293013.5968547,1142784,-2303.822998046875
1704293024.2931044,1146880,-2262.352294921875
1704293046.074654,1155072,-2210.6435546875
1704293051.5328686,1157120,-2210.515869140625
1704293056.7997363,1159168,-2202.72998046875
1704293078.395987,1167360,-2231.03564453125
1704293099.7119102,1175552,-2226.233154296875
1704293104.8645425,1177600,-2216.822265625
1704293121.1039176,1183744,-2153.527099609375
1704293131.8373852,1187840,-2120.964599609375
1704293137.2042959,1189888,-2120.72998046875
1704293142.6148746,1191936,-2085.192138671875
1704293147.9398227,1193984,-2065.651123046875
1704293153.3681319,1196032,-2078.919677734375
1704293158.6308568,1198080,-2074.353515625
1704293174.5386977,1202176,-2096.600341796875
1704293179.9421124,1204224,-2095.129150390625
1704293206.9109166,1214464,-2136.101806640625
1704293212.287659,1216512,-2131.168212890625
1704293228.4186387,1222656,-2085.215087890625
1704293233.853589,1224704,-2079.5078125
1704293249.9460866,1230848,-1963.279541015625
1704293260.7977395,1234944,-1924.644287109375
1704293281.7555914,1243136,-1910.7958984375
1704293292.6111295,1247232,-1872.847412109375
1704293303.3525279,1251328,-1893.7198486328125
1704293314.3324857,1255424,-1800.2569580078125
1704293330.2241137,1261568,-1761.112060546875
1704293351.5684392,1269760,-1812.980712890625
1704293356.892541,1271808,-1811.066650390625
1704293367.64723,1275904,-1909.24951171875
1704293384.0185316,1282048,-1957.1934814453125
1704293405.5163283,1290240,-1932.1995849609375
1704293438.4620686,1300480,-1951.43603515625
1704293476.2515512,1314816,-1984.2330322265625
1704293481.7165303,1316864,-1989.2998046875
1704293492.63553,1320960,-1910.240478515625
1704293498.0900295,1323008,-1871.0770263671875
1704293503.4629223,1325056,-1888.1400146484375
1704293508.9006371,1327104,-1849.767333984375
1704293514.4020398,1329152,-1865.0909423828125
1704293519.8254538,1331200,-1842.810302734375
1704293536.155291,1337344,-1878.458984375
1704293557.8354893,1345536,-1852.9586181640625
1704293563.0189497,1347584,-1894.1260986328125
1704293584.4014816,1355776,-1875.0205078125
1704293600.2737362,1361920,-1906.8604736328125
1704293611.0276718,1366016,-1876.793212890625
1704293621.820161,1370112,-1855.927001953125
1704293637.6143696,1376256,-1823.786865234375
1704293643.0419912,1378304,-1790.5401611328125
1704293648.5847237,1380352,-1746.17431640625
1704293654.0549192,1382400,-1722.681640625
1704293659.4552033,1384448,-1704.50390625
1704293670.360121,1388544,-1706.872314453125
1704293675.719234,1390592,-1634.849853515625
1704293681.0328698,1392640,-1577.5823974609375
1704293691.7115064,1396736,-1530.2535400390625
1704293697.119817,1398784,-1524.2515869140625
1704293705.9046304,1400832,-1499.81494140625
1704293711.1779313,1402880,-1499.486572265625
1704293721.9049704,1406976,-1560.479248046875
1704293732.8395264,1411072,-1522.8458251953125
1704293738.2880914,1413120,-1539.76513671875
1704293776.5846605,1427456,-1615.2889404296875
1704293792.8798673,1433600,-1720.6383056640625
1704293798.267806,1435648,-1731.0687255859375
1704293803.6934028,1437696,-1781.2769775390625
