Wall time,Step,Value
1689553310.90856,12288,-5414.9755859375
1689553317.7732174,14336,-5337.1416015625
1689553344.7469006,22528,-5243.59130859375
1689553351.552274,24576,-5313.01611328125
1689553371.849398,30720,-5208.0400390625
1689553378.6917195,32768,-5213.91552734375
1689553398.6774693,38912,-5217.5126953125
1689553405.478237,40960,-5199.11279296875
1689553412.0282676,43008,-5194.6201171875
1689553438.8775136,51200,-5107.89599609375
1689553497.7478414,69632,-5105.78076171875
1689553517.519499,75776,-4934.04443359375
1689553543.5059671,83968,-4940.93798828125
1689553556.3432493,88064,-5014.10498046875
1689553569.0175347,92160,-4958.5400390625
1689553574.939406,94208,-4977.13623046875
1689553587.7493455,98304,-5041.72705078125
1689553606.661361,102400,-4976.3583984375
1689553631.4240248,110592,-4845.720703125
1689553637.9039598,112640,-4769.1923828125
1689553644.3919625,114688,-4785.09423828125
1689553650.5424912,116736,-4752.8671875
1689553656.989701,118784,-4777.97119140625
1689553696.4733903,131072,-4714.53173828125
1689553709.932159,135168,-4696.8974609375
1689553716.7151394,137216,-4683.125
1689553723.2673593,139264,-4723.66845703125
1689553729.6593907,141312,-4717.53857421875
1689553749.27501,147456,-4627.90380859375
1689553755.927215,149504,-4617.203125
1689553762.6012013,151552,-4607.4677734375
1689553769.0251331,153600,-4628.138671875
1689553801.7342436,163840,-4468.34716796875
1689553834.4837108,174080,-4527.5361328125
1689553854.5474298,180224,-4552.82861328125
1689553861.462802,182272,-4570.974609375
1689553901.8792274,194560,-4437.201171875
1689553958.8305836,210944,-4504.72998046875
1689553978.9155812,217088,-4365.98876953125
1689553985.4962382,219136,-4372.478515625
1689554032.6177723,233472,-4200.08447265625
1689554052.370433,239616,-4209.05517578125
1689554065.648825,243712,-4146.3466796875
1689554110.2574484,258048,-4035.923583984375
1689554116.7729218,260096,-4028.65380859375
1689554136.8160934,266240,-3984.34033203125
1689554143.555653,268288,-3975.382568359375
1689554190.8505867,282624,-4095.348876953125
1689554203.9372132,286720,-4127.81982421875
1689554217.6393597,290816,-4154.3369140625
1689554224.5240927,292864,-4173.35986328125
1689554231.0258923,294912,-4178.22509765625
1689554285.5291533,309248,-4313.056640625
1689554319.3943899,319488,-4427.04345703125
1689554333.0047028,323584,-4383.11083984375
1689554339.8099256,325632,-4410.68115234375
1689554346.5177903,327680,-4462.4345703125
1689554367.152711,333824,-4389.68896484375
1689554387.4811702,339968,-4488.95263671875
1689554400.9709375,344064,-4458.1015625
1689554407.7804737,346112,-4471.44775390625
1689554428.3453405,352256,-4559.08544921875
1689554469.106702,364544,-4515.9501953125
1689554476.051474,366592,-4499.49072265625
1689554489.4980545,370688,-4559.54345703125
1689554509.3730862,376832,-4564.85205078125
1689554522.56551,380928,-4560.4306640625
1689554529.3232355,382976,-4564.7431640625
1689554542.7473319,387072,-4601.2900390625
1689554556.5953152,391168,-4549.21240234375
1689554563.5195692,393216,-4495.70458984375
1689554619.0317273,407552,-4358.9326171875
1689554672.785338,423936,-4096.13720703125
1689554679.7148905,425984,-4028.89404296875
1689554686.689347,428032,-4009.2958984375
1689554713.4369807,436224,-3859.32470703125
1689554779.738274,456704,-3709.2724609375
1689554786.590189,458752,-3717.886474609375
1689554799.9947524,462848,-3716.607666015625
1689554812.8130069,466944,-3744.1162109375
1689554825.7664034,471040,-3763.6318359375
1689554851.06745,477184,-3772.65234375
1689554857.622331,479232,-3735.297607421875
1689554864.416102,481280,-3785.300048828125
1689554884.3704293,487424,-3799.13232421875
1689554956.5255878,507904,-4009.26904296875
1689554970.3429103,512000,-4049.431640625
1689555011.2757826,524288,-3954.249267578125
1689555031.725929,530432,-3939.67138671875
1689555038.5923312,532480,-3946.06103515625
1689555045.5828218,534528,-3973.661376953125
1689555052.5451648,536576,-3938.365966796875
1689555066.5139081,540672,-3824.209716796875
1689555093.418293,548864,-3789.384033203125
1689555107.4195569,552960,-3631.990966796875
1689555120.8899293,557056,-3513.678466796875
1689555134.8712997,561152,-3490.41015625
1689555169.909396,571392,-3347.889404296875
1689555210.5770066,583680,-3302.3955078125
1689555257.5216036,598016,-3408.696533203125
1689555267.8447278,600064,-3432.772216796875
1689555301.252707,610304,-3465.4560546875
1689555308.0044322,612352,-3500.78076171875
1689555327.8847904,618496,-3605.1767578125
1689555334.6176953,620544,-3590.564453125
1689555341.257222,622592,-3594.336669921875
1689555367.9375043,630784,-3564.4912109375
1689555374.7634752,632832,-3559.508544921875
1689555388.0668657,636928,-3548.6142578125
1689555408.0937529,643072,-3497.963623046875
1689555434.7791293,651264,-3375.09423828125
1689555441.762346,653312,-3322.38232421875
1689555448.1831083,655360,-3331.051025390625
1689555455.0825672,657408,-3340.34521484375
1689555468.8969147,661504,-3266.68017578125
1689555489.1351888,667648,-3235.168701171875
1689555495.8370981,669696,-3222.5537109375
1689555502.8195243,671744,-3191.488037109375
1689555523.3391724,677888,-3185.238037109375
1689555543.618894,684032,-3203.714599609375
1689555583.6086276,696320,-3203.350341796875
1689555603.7434742,700416,-3267.792724609375
1689555623.825395,706560,-3213.477783203125
1689555630.5608697,708608,-3181.853759765625
1689555644.2361927,712704,-3200.194580078125
1689555651.0647128,714752,-3196.87890625
1689555685.5203214,724992,-3270.857177734375
1689555691.9780223,727040,-3303.1513671875
1689555719.17589,735232,-3344.359130859375
1689555732.8422098,739328,-3359.1884765625
1689555753.448111,745472,-3311.918212890625
1689555779.981379,753664,-3308.95947265625
1689555807.0487082,761856,-3343.3681640625
1689555820.9610724,765952,-3354.029541015625
1689555848.4547398,774144,-3314.879638671875
1689555855.2279646,776192,-3273.377685546875
1689555862.2995546,778240,-3208.45703125
1689555876.2253973,782336,-3081.482177734375
1689555883.0596554,784384,-3113.602783203125
1689555910.5532541,792576,-3121.2412109375
1689555917.5288055,794624,-3142.40576171875
1689555948.4123597,802816,-3183.796142578125
1689555955.3688755,804864,-3198.956298828125
1689555962.5078404,806912,-3201.543212890625
1689556031.7600327,827392,-3247.237548828125
1689556066.6194348,837632,-3208.515625
1689556114.1804087,851968,-3055.92724609375
1689556120.8383794,854016,-3035.462158203125
1689556155.3078895,864256,-3026.74853515625
1689556162.1656864,866304,-3032.239013671875
1689556176.2297802,870400,-3003.026123046875
1689556190.2351599,874496,-2970.272216796875
1689556216.6851683,882688,-3000.4873046875
1689556277.8177912,901120,-3084.5634765625
1689556291.5905905,905216,-3101.4189453125
1689556298.2491462,907264,-3043.14208984375
1689556319.0438137,913408,-2997.84375
1689556360.4676318,925696,-2924.570068359375
1689556409.4054375,940032,-2792.23876953125
1689556416.3820424,942080,-2749.8828125
1689556423.2218533,944128,-2718.314208984375
1689556430.0668056,946176,-2706.567138671875
1689556443.772984,950272,-2706.198974609375
1689556450.2366278,952320,-2694.0673828125
1689556470.7152255,958464,-2708.98681640625
1689556477.4851446,960512,-2720.980712890625
1689556511.9409578,970752,-2735.3701171875
1689556518.8504848,972800,-2761.22119140625
1689556594.3792684,995328,-2755.13623046875
